station_id,borrow_count,return_count
0,0,58
30200.0,1086,1345
30201.0,1494,1632
31000.0,402,387
31002.0,594,612
31003.0,470,459
31004.0,194,192
31005.0,535,550
31006.0,401,395
31007.0,547,551
31009.0,187,176
31010.0,220,233
31011.0,353,361
31012.0,164,173
31013.0,177,175
31014.0,610,702
31015.0,260,321
31016.0,475,467
31017.0,425,265
31018.0,193,158
31019.0,338,260
31020.0,244,165
31021.0,280,266
31022.0,810,586
31023.0,272,263
31024.0,558,474
31025.0,349,309
31026.0,194,170
31027.0,435,386
31028.0,141,104
31029.0,297,277
31030.0,465,279
31031.0,352,290
31032.0,137,135
31033.0,82,77
31034.0,316,314
31035.0,152,142
31036.0,208,188
31037.0,565,508
31038.0,242,223
31039.0,448,397
31040.0,240,244
31041.0,285,342
31042.0,247,302
31043.0,129,157
31044.0,105,107
31045.0,101,121
31046.0,65,62
31047.0,108,113
31048.0,114,110
31049.0,290,326
31050.0,107,93
31051.0,134,140
31052.0,118,146
31053.0,97,110
31054.0,55,50
31055.0,92,109
31056.0,119,123
31057.0,91,92
31058.0,97,107
31059.0,125,122
31060.0,195,219
31061.0,52,66
31062.0,700,701
31063.0,33,37
31064.0,1102,1124
31065.0,175,136
31066.0,66,67
31067.0,92,96
31068.0,119,157
31069.0,135,143
31070.0,105,109
31071.0,606,619
31072.0,15,19
31073.0,159,172
31074.0,144,164
31075.0,131,131
31076.0,96,101
31077.0,572,575
31078.0,113,99
31079.0,202,183
31080.0,375,352
31081.0,67,79
31082.0,129,113
31083.0,136,143
31084.0,134,144
31085.0,210,205
31086.0,138,138
31087.0,171,182
31088.0,87,93
31089.0,522,526
31090.0,160,148
31091.0,229,229
31092.0,119,95
31093.0,231,206
31094.0,82,65
31095.0,36,40
31096.0,98,109
31097.0,109,132
31098.0,275,281
31099.0,66,70
31100.0,517,515
31101.0,3527,3388
31102.0,2150,1619
31104.0,2781,2640
31105.0,561,520
31106.0,770,521
31107.0,2038,1976
31108.0,2004,2110
31109.0,1057,1097
31110.0,961,987
31111.0,934,894
31112.0,690,671
31113.0,1484,1338
31114.0,2327,2042
31115.0,1123,866
31116.0,1903,1821
31117.0,1673,1622
31118.0,1150,1104
31119.0,1946,1960
31120.0,1309,1275
31121.0,1318,1239
31122.0,1163,1056
31123.0,853,767
31124.0,1984,2022
31125.0,2585,2568
31126.0,1374,1353
31127.0,847,843
31128.0,1720,1851
31129.0,1236,1336
31130.0,1116,1064
31131.0,1250,981
31132.0,1644,1671
31133.0,1238,1119
31134.0,1764,1650
31135.0,1355,1193
31136.0,996,846
31137.0,565,476
31138.0,308,286
31139.0,353,378
31140.0,179,201
31200.0,2993,3009
31201.0,3558,3549
31202.0,2681,2658
31203.0,2485,2371
31204.0,655,633
31205.0,1647,1713
31206.0,385,370
31207.0,467,475
31208.0,859,946
31209.0,1071,1245
31210.0,1262,1217
31211.0,726,738
31212.0,1813,1884
31213.0,1798,1887
31214.0,2395,2400
31215.0,1217,1439
31216.0,878,1070
31217.0,753,867
31218.0,1171,1204
31219.0,1132,1171
31220.0,784,776
31221.0,1254,1336
31222.0,1158,1312
31223.0,1556,1489
31224.0,957,1001
