X,Y,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,REGION_NAME,GIS_ID,LATITUDE,LONGITUDE,GIS_LAST_MOD_DTTM,OBJECTID
-8581840.88863808,4719160.40639774,47th & Elm St,classic,08259c89-1f3f-11e7-bf6b-3863bb334450,,2025/07/27 04:40:23+00,14,0,1,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",44,"Montgomery County, MD (South)",,38.982456,-77.091991,2025/07/27 04:42:29+00,279556445
-8572987.58214273,4711470.75558988,1st & Washington Hospital Center NW,classic,0825201c-1f3f-11e7-bf6b-3863bb334450,,2025/07/27 04:40:26+00,9,0,6,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",42,"Washington, DC",,38.928743,-77.012457,2025/07/27 04:42:29+00,279556446
-8594914.17993199,4704186.53727917,Emma Lee St & Morris St,classic,3d8b6392-9572-4c65-b71c-fd8f03af9ab2,,2025/07/27 04:42:00+00,8,0,2,0,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,"KEY,CREDITCARD",104,"Fairfax, VA",,38.877818,-77.209421,2025/07/27 04:42:29+00,279556447
-8556991.63403315,4703893.69228692,Walker Mill Road/ Walker Mill Regional Park ,classic,1999699654561182176,,2025/07/27 04:40:23+00,3,0,11,3,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",133,Prince George's County,,38.875772,-76.868767,2025/07/27 04:42:29+00,279556448
-8571292.88245166,4712922.43715357,John McCormack Rd NE,classic,8bbafd08-edb1-426d-94f4-c7b7d9be34dd,,2025/07/27 04:40:23+00,13,0,1,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,14,"KEY,CREDITCARD",42,"Washington, DC",,38.938889,-76.997226,2025/07/27 04:42:29+00,279556449
-8578273.3132391,4701967.46388173,Pentagon City Metro / 12th St & S Hayes St,classic,08246df5-1f3f-11e7-bf6b-3863bb334450,,2025/07/27 04:40:23+00,5,0,12,0,2,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",41,"Arlington, VA",,38.862303,-77.059936,2025/07/27 04:42:29+00,279556450
-8565629.9547395,4715852.84923565,Oglethorpe St & 42nd Ave,classic,42ad2bc8-22b5-40f2-8a56-e562e4ecde07,,2025/07/27 04:40:42+00,5,0,9,1,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",133,Prince George's County,,38.959361,-76.946361,2025/07/27 04:42:29+00,279556451
-8610104.16114054,4711723.74865723,Soapstone Dr Convenience Center,classic,85c2fb24-d241-4550-8968-2cdf85462af7,,2025/07/27 04:41:55+00,0,0,9,1,3,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,"KEY,CREDITCARD",104,"Fairfax, VA",,38.93051,-77.345874,2025/07/27 04:42:29+00,279556452
-8571817.92642828,4707417.53299898,3rd & H St NE,classic,0824bce1-1f3f-11e7-bf6b-3863bb334450,,2025/07/27 04:40:39+00,4,1,13,1,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,"Washington, DC",,38.900412,-77.001949,2025/07/27 04:42:29+00,279556453
-8577932.35773945,4702330.8705062,Army Navy Dr & Fern St,classic,0a5dbbe0-1325-49af-9fca-f0748ca06dc0,,2025/07/27 04:40:41+00,10,0,3,1,2,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",41,"Arlington, VA",,38.864838,-77.056873,2025/07/27 04:42:29+00,279556454
-8611644.98747054,4715041.62518199,Reston Town Center Metro North,classic,e823318f-8406-4230-8072-1667f5de78d4,,2025/07/27 04:40:43+00,12,0,10,0,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,23,"KEY,CREDITCARD",104,"Fairfax, VA",,38.953691,-77.359717,2025/07/27 04:42:29+00,279556455
-8586066.82285404,4693075.52616,Van Dorn Metro,classic,dfa896d9-9209-413d-b494-e255ef513d2c,,2025/07/27 04:41:55+00,6,0,13,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",40,"Alexandria, VA",,38.800077,-77.129943,2025/07/27 04:42:29+00,279556456
-8587766.1689237,4735257.12177973,Frederick Ave & Horners Ln,classic,08258475-1f3f-11e7-bf6b-3863bb334450,,2025/07/27 04:40:54+00,7,0,1,0,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,9,"KEY,CREDITCARD",43,"Montgomery County, MD (North)",,39.094772,-77.145213,2025/07/27 04:42:29+00,279556457
-8582125.15886452,4719480.04743625,Bethesda Metro / Wisconsin Ave & Old Georgetown Rd,classic,0825f2b1-1f3f-11e7-bf6b-3863bb334450,,2025/07/27 04:40:54+00,6,0,4,0,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,"KEY,CREDITCARD",44,"Montgomery County, MD (South)",,38.984691,-77.094537,2025/07/27 04:42:29+00,279556458
