station_id,station_name,docks_total
30200.0,9th St & Pennsylvania Ave NW,15
30201.0,9th & G St NW,11
31000.0,Eads St & 15th St S,12
31002.0,Crystal Dr & 20th St S,7
31003.0,Crystal Dr & 15th St S,5
31004.0,Aurora Hills Cmty Ctr / 18th St & S Hayes St,3
31005.0,Pentagon City Metro / 12th St & S Hayes St,5
31006.0,Pentagon Row Plaza / Army Navy Dr & Joyce St,1
31007.0,Crystal City Metro / 18th St & S Bell St,8
31009.0,Crystal Dr & 27th St S,8
31010.0,S Glebe Rd & Potomac Ave,8
31011.0,Crystal Dr & 23rd St S,12
31012.0,Clark St & 26th St S,8
31013.0,Eads St & 22nd St S,6
31014.0,19th St N & Ft Myer Dr,10
31015.0,Wilson Blvd & Ft Myer Dr,11
31016.0,Clarendon Blvd & Pierce St,12
31017.0,Wilson Blvd & N Uhle St,13
31018.0,Rhodes St & 16th St N,2
31019.0,Wilson Blvd & N Edgewood St,10
31020.0,Wilson Blvd & N Franklin Rd,7
31021.0,Clarendon Blvd & N Fillmore St,14
31022.0,Clarendon Metro / Wilson Blvd & N Highland St,18
31023.0,Fairfax Dr & Wilson Blvd,10
31024.0,Virginia Square Metro / Monroe St & 9th St N,8
31025.0,Central Library / Quincy St & 10th St N,10
31026.0,Washington Blvd & 10th St N,15
31027.0,Wilson Blvd & N Quinn St,15
31028.0,N Veitch St & Key Blvd,12
31029.0,N Veitch St & 20th St N,13
31030.0,Langston Blvd & N Adams St,14
31031.0,15th St & N Scott St,13
31032.0,Washington Blvd & 7th St N,7
31033.0,Barcroft Community Center,1
31034.0,Fairfax Dr & N Randolph St,11
31035.0,N Quincy St & Glebe Rd,3
31036.0,George Mason Dr & Wilson Blvd,7
31037.0,Ballston Metro / Stuart St & 9th St N,21
31038.0,Glebe Rd & 11th St N,9
31039.0,Wilson Blvd & N Quincy St,13
31040.0,GMU/Fairfax Dr & Kenmore St,6
31041.0,Prince St & Union St,1
31042.0,Market Square / King St & Royal St,6
31043.0,St Asaph & Pendleton St,4
31044.0,King St & Patrick St,6
31045.0,Commerce St & Fayette St,7
31046.0,Henry St & Pendleton St,6
31047.0,Braddock Rd Metro North,13
31048.0,King St Metro South,19
31049.0,Fairfax Dr & N Taylor St,5
31050.0,Barton St & 10th St N,8
31051.0,12th St N & N Pierce St,7
31052.0,Potomac Ave & 35th St S,8
31053.0,Columbia Pike & S Courthouse Rd,7
31054.0,Wakefield High School,5
31055.0,28th St & S Meade St,7
31056.0,S Troy St & 26th St S,0
31057.0,S Four Mile Run Dr & Shirlington Rd,11
31058.0,Columbia Pike & Monroe St,7
31059.0,S Four Mile Run Dr & Walter Reed Dr,4
31060.0,S Arlington Mill Dr & Campbell Ave,10
31061.0,S Kenmore St & 24th St S,9
31062.0,Roosevelt Island,4
31063.0,S George Mason Dr & S Four Mile Run Dr,2
31064.0,Gravelly Point,3
31065.0,N Pershing Dr & N Wayne St,8
31066.0,Columbia Pike & S Orme St,4
31067.0,Columbia Pike & S Walter Reed Dr,7
31068.0,Arlington Mill Cmty Center / Columbia Pike & S Dinwiddie St,7
31069.0,N Pershing Dr & N George Mason Dr,8
