station_id,capacity_peak,station_name,docks_total,diff_peak,ape_peak
30200,26,9th St & Pennsylvania Ave NW,15,11,73.33333333333333
30201,17,9th & G St NW,11,6,54.54545454545454
31000,7,Eads St & 15th St S,12,-5,41.66666666666667
31002,12,Crystal Dr & 20th St S,7,5,71.42857142857143
31003,11,Crystal Dr & 15th St S,5,6,120.0
31004,4,Aurora Hills Cmty Ctr / 18th St & S Hayes St,3,1,33.33333333333333
31005,9,Pentagon City Metro / 12th St & S Hayes St,5,4,80.0
31006,6,Pentagon Row Plaza / Army Navy Dr & Joyce St,1,5,500.0
31007,11,Crystal City Metro / 18th St & S Bell St,8,3,37.5
31009,4,Crystal Dr & 27th St S,8,-4,50.0
31010,4,S Glebe Rd & Potomac Ave,8,-4,50.0
31011,8,Crystal Dr & 23rd St S,12,-4,33.33333333333333
31012,5,Clark St & 26th St S,8,-3,37.5
31013,8,Eads St & 22nd St S,6,2,33.33333333333333
31014,13,19th St N & Ft Myer Dr,10,3,30.0
31015,11,Wilson Blvd & Ft Myer Dr,11,0,0.0
31016,8,Clarendon Blvd & Pierce St,12,-4,33.33333333333333
31017,9,Wilson Blvd & N Uhle St,13,-4,30.76923076923077
31018,5,Rhodes St & 16th St N,2,3,150.0
31019,5,Wilson Blvd & N Edgewood St,10,-5,50.0
31020,9,Wilson Blvd & N Franklin Rd,7,2,28.57142857142857
31021,5,Clarendon Blvd & N Fillmore St,14,-9,64.28571428571429
31022,14,Clarendon Metro / Wilson Blvd & N Highland St,18,-4,22.22222222222222
31023,6,Fairfax Dr & Wilson Blvd,10,-4,40.0
31024,8,Virginia Square Metro / Monroe St & 9th St N,8,0,0.0
31025,7,Central Library / Quincy St & 10th St N,10,-3,30.0
31026,6,Washington Blvd & 10th St N,15,-9,60.0
31027,7,Wilson Blvd & N Quinn St,15,-8,53.333333333333336
31028,5,N Veitch St & Key Blvd,12,-7,58.333333333333336
31029,9,N Veitch St & 20th St N,13,-4,30.76923076923077
31030,6,Langston Blvd & N Adams St,14,-8,57.14285714285714
31031,6,15th St & N Scott St,13,-7,53.84615384615385
31032,4,Washington Blvd & 7th St N,7,-3,42.857142857142854
31033,5,Barcroft Community Center,1,4,400.0
31034,6,Fairfax Dr & N Randolph St,11,-5,45.45454545454545
