station_id,station,Max_Positive,Min_Negative,Required_Docks_Est
31602.0,Park Rd & Holmead Pl NW,1,-601,602
31102.0,11th & Kenyon St NW,-1,-545,544
31247.0,Jefferson Dr & 14th St SW,373,1,372
31230.0,Metro Center / 12th & G St NW,313,-3,316
31228.0,8th & H St NW,293,-5,298
31114.0,18th St & Wyoming Ave NW,-1,-294,293
31131.0,14th & Otis Pl NW,1,-276,277
31225.0,Wisconsin Ave & K St NW,273,-2,275
31268.0,12th & U St NW,5,-262,267
30200.0,9th St & Pennsylvania Ave NW,266,-1,267
31115.0,Columbia Rd & Georgia Ave NW,1,-265,266
31106.0,Calvert & Biltmore St NW,0,-249,249
31274.0,10th & G St NW,244,-3,247
31293.0,Thomas Jefferson St NW & Water/K St NW,241,-4,245
31246.0,M St & Pennsylvania Ave NW,238,-2,240
31215.0,Georgetown Harbor / 30th St NW,223,-3,226
31022.0,Clarendon Metro / Wilson Blvd & N Highland St,2,-224,226
31229.0,New Hampshire Ave & T St NW,5,-211,216
31209.0,1st & N St SE,203,-7,210
31216.0,14th St & New York Ave NW,209,1,208
31314.0,34th & Water St NW,205,-3,208
31323.0,Woodley Park Metro / Calvert St & Connecticut Ave NW,8,-198,206
31311.0,13th & O St NW/ Logan Circle,1,-196,197
31286.0,11th & O St NW,6,-188,194
31030.0,Langston Blvd & N Adams St,0,-188,188
31262.0,11th & F St NW,187,0,187
31135.0,16th & Harvard St NW,2,-179,181
31647.0,7th St & Massachusetts Ave NE,1,-175,176
31650.0,1st & M St SE,168,-5,173
31241.0,Thomas Circle,6,-167,173
31335.0,16th & K St NW/BLM Plaza,170,1,169
31222.0,15th St & New York Ave NW,164,-4,168
31646.0,Maine Ave & 9th St SW,165,-2,167
31136.0,11th & Clifton St NW,11,-156,167
31017.0,Wilson Blvd & N Uhle St,2,-163,165
31113.0,Columbia Rd & Belmont St NW,9,-154,163
31101.0,14th & V St NW,8,-154,162
31232.0,7th & F St NW / National Portrait Gallery,154,-2,156
31227.0,13th St & New York Ave NW,152,-3,155
31233.0,17th & K St NW / Farragut Square,155,0,155
31620.0,5th & F St NW,150,-2,152
31655.0,New Jersey Ave & F St NW,141,-10,151
30201.0,9th & G St NW,139,-5,144
31128.0,23rd & M St NW,142,-1,143
31104.0,Adams Mill & Columbia Rd NW,-1,-143,142
31276.0,15th & L St NW,124,-13,137
31426.0,10th St & Spring Rd NW,3,-133,136
31320.0,American University East Campus,2,-134,136
31623.0,Columbus Circle / Union Station,22,-113,135
31231.0,14th & D St NW / John A Wilson Building,133,-1,134
31296.0,Columbia & Ontario Rd NW,0,-134,134
31238.0,14th & G St NW,134,1,133
